DATE,DRSREACBS
1987-01-01,4.95
1987-04-01,4.77
1987-07-01,4.71
1987-10-01,4.84
1988-01-01,4.85
1988-04-01,4.83
1988-07-01,4.74
1988-10-01,4.38
1989-01-01,4.76
1989-04-01,4.76
1989-07-01,4.95
1989-10-01,5.08
1990-01-01,5.35
1990-04-01,5.66
1990-07-01,6.08
1990-10-01,7.05
1991-01-01,7.33
1991-04-01,7.38
1991-07-01,7.19
1991-10-01,7.00
1992-01-01,6.70
1992-04-01,6.55
1992-07-01,6.28
1992-10-01,5.82
1993-01-01,5.45
1993-04-01,5.14
1993-07-01,4.75
1993-10-01,4.20
1994-01-01,3.96
1994-04-01,3.62
1994-07-01,3.28
1994-10-01,2.99
1995-01-01,3.04
1995-04-01,2.94
1995-07-01,2.87
1995-10-01,2.73
1996-01-01,2.69
1996-04-01,2.67
1996-07-01,2.61
1996-10-01,2.54
1997-01-01,2.45
1997-04-01,2.35
1997-07-01,2.27
1997-10-01,2.25
1998-01-01,2.20
1998-04-01,2.13
1998-07-01,2.11
1998-10-01,2.07
1999-01-01,1.97
1999-04-01,1.93
1999-07-01,1.97
1999-10-01,1.79
2000-01-01,1.82
2000-04-01,1.81
2000-07-01,1.88
2000-10-01,1.96
2001-01-01,2.04
2001-04-01,2.17
2001-07-01,2.17
2001-10-01,2.16
2002-01-01,2.10
2002-04-01,2.04
2002-07-01,1.98
2002-10-01,1.86
2003-01-01,1.91
2003-04-01,1.80
2003-07-01,1.67
2003-10-01,1.66
2004-01-01,1.53
2004-04-01,1.49
2004-07-01,1.44
2004-10-01,1.30
2005-01-01,1.34
2005-04-01,1.37
2005-07-01,1.38
2005-10-01,1.41
2006-01-01,1.36
2006-04-01,1.38
2006-07-01,1.49
2006-10-01,1.70
2007-01-01,1.77
2007-04-01,2.00
2007-07-01,2.39
2007-10-01,2.91
2008-01-01,3.55
2008-04-01,4.20
2008-07-01,4.87
2008-10-01,6.04
2009-01-01,7.18
2009-04-01,8.14
2009-07-01,8.95
2009-10-01,9.58
2010-01-01,10.02
2010-04-01,9.96
2010-07-01,9.70
2010-10-01,9.11
2011-01-01,9.08
2011-04-01,8.97
2011-07-01,8.72
2011-10-01,8.47
2012-01-01,8.24
2012-04-01,8.13
2012-07-01,8.13
2012-10-01,7.54
2013-01-01,7.16
2013-04-01,6.75
2013-07-01,6.13
2013-10-01,5.70
2014-01-01,5.34
2014-04-01,4.99
2014-07-01,4.67
2014-10-01,4.31
2015-01-01,4.00
2015-04-01,3.74
2015-07-01,3.47
2015-10-01,3.25
2016-01-01,3.03
2016-04-01,2.87
2016-07-01,2.70
2016-10-01,2.58
2017-01-01,2.42
2017-04-01,2.29
2017-07-01,2.28
2017-10-01,2.25
2018-01-01,2.14
2018-04-01,2.02
2018-07-01,1.92
2018-10-01,1.80
2019-01-01,1.74
2019-04-01,1.68
2019-07-01,1.59
2019-10-01,1.52
