"","Year","Month","Day","real_GDP","homeownership","delinq_loan_estate","delinq_credit_card","delinq_comm_loan","employees","cpi_usa","city_price","light_vehicle","manufac_durable"
"1","2000","01","01",12924.179,67.1,1.82,4.43,2.11,131005,169.3,100.589697253421,18.114,201360
"2","2000","04","01",13160.842,67.3,1.81,4.51,2.24,131888,170.9,103.99644357188,17.442,195044
"3","2000","07","01",13178.419,67.5,1.88,4.53,2.33,132236,172.7,107.134020724441,16.851,189265
"4","2000","10","01",13260.506,67.5,1.96,4.57,2.52,132351,173.9,109.48685900445,17.117,186158
"5","2001","01","01",13222.69,67.6,2.04,4.81,2.65,132698,175.6,113.053498635174,17.251,177056
"6","2001","04","01",13299.984,67.8,2.17,4.94,2.94,132463,176.4,115.840549740194,16.531,171850
"7","2001","07","01",13244.784,67.9,2.17,5,3.26,132177,177.4,117.496602787746,16.123,170129
"8","2001","10","01",13280.859,67.9,2.16,4.69,3.48,131454,177.6,119.694048851633,21.709,171530
"9","2002","01","01",13397.002,67.9,2.1,4.94,3.69,130852,177.7,121.360321199675,16.22,162677
"10","2002","04","01",13478.152,67.8,2.04,4.78,3.92,130623,179.3,124.507751051511,17.343,171852
"11","2002","07","01",13538.072,67.9,1.98,4.89,3.88,130590,180,128.879591123004,17.829,174282
"12","2002","10","01",13559.032,68.2,1.86,4.84,3.88,130628,181.2,132.846627902221,15.923,169134
"13","2003","01","01",13634.253,68.1,1.91,4.68,3.65,130580,182.6,136.466798700584,16.426,169994
"14","2003","04","01",13751.543,68.2,1.8,4.53,3.56,130177,183.2,139.250034415599,16.433,169347
"15","2003","07","01",13985.073,68.3,1.67,4.24,3.27,130191,183.7,142.118880732054,16.777,173320
"16","2003","10","01",14145.645,68.5,1.66,4.43,2.85,130454,184.9,146.990440524075,16.143,183704
"17","2004","01","01",14221.147,68.7,1.53,4.21,2.57,130769,186.3,152.625095078633,16.304,178696
"18","2004","04","01",14329.523,69.4,1.49,4.15,2.3,131411,187.4,159.359633989675,16.493,184368
"19","2004","07","01",14464.984,68.9,1.44,4.07,2.03,131848,189.1,166.387165714539,16.87,186835
"20","2004","10","01",14609.876,69.1,1.3,4.03,1.82,132447,190.8,171.296956531242,17.056,185187
"21","2005","01","01",14771.602,69.2,1.34,3.7,1.62,132774,191.6,177.546099677547,16.37,194875
"22","2005","04","01",14839.782,68.7,1.37,3.67,1.5,133518,193.7,185.514784843962,17.274,194847
"23","2005","07","01",14972.054,68.7,1.38,3.9,1.47,134296,194.9,191.379215518083,20.607,194475
"24","2005","10","01",15066.597,68.9,1.41,3.54,1.44,134655,199.1,197.882850127801,14.847,209901
"25","2006","01","01",15267.026,68.6,1.36,3.86,1.39,135429,199.3,203.771314718391,17.572,209540
"26","2006","04","01",15302.705,68.8,1.38,4.13,1.3,136205,200.7,206.656025830975,16.568,214625
"27","2006","07","01",15326.368,68.9,1.49,4.12,1.26,136520,202.9,204.936392304122,17.125,209494
"28","2006","10","01",15456.928,68.8,1.7,3.95,1.15,136852,201.9,203.549273350089,16.322,216952
"29","2007","01","01",15493.328,68.5,1.77,3.98,1.19,137477,203.437,203.742735251263,16.402,221030
"30","2007","04","01",15582.085,68.3,2,4.02,1.19,137842,205.904,202.880758584976,16.215,231627
"31","2007","07","01",15666.738,68,2.39,4.41,1.21,138038,207.603,196.844496400815,15.499,234576
